count	 id	 x	 y	 theta	 theta_deg
640	 0	 -2.900000	 -0.000000	 -1.570000	 -89.954377
640	 1	 -2.900000	 0.100000	 -1.570000	 -89.954377
640	 2	 -2.900000	 -0.100000	 -1.570000	 -89.954377
640	 3	 -2.900000	 0.213892	 -1.570000	 -89.954377
640	 4	 -2.900000	 -0.200000	 -1.570000	 -89.954377
1280	 0	 -2.900000	 -0.000000	 -1.570000	 -89.954377
1280	 1	 -2.900000	 0.100000	 -1.570000	 -89.954377
1280	 2	 -2.900000	 -0.100000	 -1.570000	 -89.954377
1280	 3	 -2.900000	 0.213892	 -1.570000	 -89.954377
1280	 4	 -2.900000	 -0.200000	 -1.570000	 -89.954377
1920	 0	 -2.853076	 0.006486	 -1.669657	 -95.664313
1920	 1	 -2.865721	 0.079270	 -0.916303	 -52.500297
1920	 2	 -2.854386	 -0.108358	 -1.427121	 -81.767985
1920	 3	 -2.862706	 0.195386	 -0.823757	 -47.197789
1920	 4	 -2.853165	 -0.182166	 -2.355235	 -134.945017
2560	 0	 -2.853076	 0.006486	 -1.669657	 -95.664313
2560	 1	 -2.865721	 0.079270	 -0.916303	 -52.500297
2560	 2	 -2.854386	 -0.108358	 -1.427121	 -81.767985
2560	 3	 -2.862706	 0.195386	 -0.823757	 -47.197789
2560	 4	 -2.853165	 -0.182166	 -2.355235	 -134.945017
3200	 0	 -2.790148	 0.004835	 -1.859838	 -106.560862
3200	 1	 -2.834552	 0.063741	 -0.228222	 -13.076160
3200	 2	 -2.790233	 -0.109239	 -1.665878	 -95.447775
3200	 3	 -2.841188	 0.173140	 -0.844912	 -48.409878
3200	 4	 -2.804778	 -0.187352	 -1.158405	 -66.371714
3840	 0	 -2.790148	 0.004835	 -1.859838	 -106.560862
3840	 1	 -2.834552	 0.063741	 -0.228222	 -13.076160
3840	 2	 -2.790233	 -0.109239	 -1.665878	 -95.447775
3840	 3	 -2.841188	 0.173140	 -0.844912	 -48.409878
3840	 4	 -2.804778	 -0.187352	 -1.158405	 -66.371714
4480	 0	 -2.790148	 0.004835	 -1.859838	 -106.560862
4480	 1	 -2.834552	 0.063741	 -0.228222	 -13.076160
4480	 2	 -2.790233	 -0.109239	 -1.665878	 -95.447775
4480	 3	 -2.841188	 0.173140	 -0.844912	 -48.409878
4480	 4	 -2.804778	 -0.187352	 -1.158405	 -66.371714
5120	 0	 -2.701944	 0.030924	 -1.748207	 -100.164868
5120	 1	 -2.831971	 -0.015880	 -0.174034	 -9.971418
5120	 2	 -2.731550	 -0.090551	 -2.151530	 -123.273590
5120	 3	 -2.792898	 0.110197	 -0.410386	 -23.513375
5120	 4	 -2.744144	 -0.202366	 -1.831050	 -104.911412
5760	 0	 -2.701944	 0.030924	 -1.748207	 -100.164868
5760	 1	 -2.831971	 -0.015880	 -0.174034	 -9.971418
5760	 2	 -2.731550	 -0.090551	 -2.151530	 -123.273590
5760	 3	 -2.792898	 0.110197	 -0.410386	 -23.513375
5760	 4	 -2.744144	 -0.202366	 -1.831050	 -104.911412
6400	 0	 -2.643871	 0.071205	 -2.496065	 -143.013998
6400	 1	 -2.778333	 -0.108531	 -0.772530	 -44.262706
6400	 2	 -2.672971	 -0.044752	 -2.235845	 -128.104487
6400	 3	 -2.771739	 0.032614	 -0.046364	 -2.656476
6400	 4	 -2.682135	 -0.161054	 -2.193252	 -125.664088
7040	 0	 -2.643871	 0.071205	 -2.496065	 -143.013998
7040	 1	 -2.778333	 -0.108531	 -0.772530	 -44.262706
7040	 2	 -2.672971	 -0.044752	 -2.235845	 -128.104487
7040	 3	 -2.771739	 0.032614	 -0.046364	 -2.656476
7040	 4	 -2.682135	 -0.161054	 -2.193252	 -125.664088
7680	 0	 -2.643871	 0.071205	 -2.496065	 -143.013998
7680	 1	 -2.778333	 -0.108531	 -0.772530	 -44.262706
7680	 2	 -2.672971	 -0.044752	 -2.235845	 -128.104487
7680	 3	 -2.771739	 0.032614	 -0.046364	 -2.656476
7680	 4	 -2.682135	 -0.161054	 -2.193252	 -125.664088
8320	 0	 -2.579024	 0.186765	 -2.384953	 -136.647742
8320	 1	 -2.681672	 -0.172372	 -1.186893	 -68.003973
8320	 2	 -2.597762	 0.010837	 -2.133872	 -122.261875
8320	 3	 -2.716813	 -0.073819	 -0.948824	 -54.363583
8320	 4	 -2.590515	 -0.107342	 -2.062764	 -118.187654
8960	 0	 -2.579024	 0.186765	 -2.384953	 -136.647742
8960	 1	 -2.681672	 -0.172372	 -1.186893	 -68.003973
8960	 2	 -2.597762	 0.010837	 -2.133872	 -122.261875
